name,office,party,image url,website,facebook,mailing address
Chris Oldner,"Judge, Court of Criminal Appeals Place 2",REP,http://www.texaslawyer.com/image/tx/128_pics/oldner_chris_.jpg,http://chrisoldner.com/,https://www.facebook.com/Judge-Chris-Oldner-for-Texas-Court-of-Criminal-Appeals-Place-2-124540797626268/,"PO Box 2522 McKinney, TX 75070"
Mary Lou Keel,"Judge, Court of Criminal Appeals Place 2",REP,"http://static.wixstatic.com/media/3e3e86_50697d9df8a54f389ce298a954749ce2.jpg/v1/fill/w_405,h_503,al_c,q_80,usm_0.66_1.00_0.01/3e3e86_50697d9df8a54f389ce298a954749ce2.jpg",http://www.maryloukeel.com/,https://www.facebook.com/judgekeel,"1100 Leeland #250 Houston, TX 77002"
Ray Wheless,"Judge, Court of Criminal Appeals Place 2",REP,http://gawtp.com/wp-content/uploads/2015/12/Wheless-2.jpg,http://www.judgeraywheless.com/,n/a,"PO Box 6134 McKinney, TX 75071"
Betsy Johnson,"Judge, Court of Criminal Appeals Place 5",DEM,,,,"612 Dawson San Antonio, TX 78202"
Brent Webster,"Judge, Court of Criminal Appeals Place 5",REP,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xtf1/v/t1.0-9/12417665_1548323322151224_303515948814918646_n.jpg?oh=eca681d13c92ea43253003bc8ef8480c&oe=573C326C,http://www.websterforjudge.com/,https://www.facebook.com/websterforjudge/,"PO Box 171012 Austin, TX 78717"
Steve Smith,"Judge, Court of Criminal Appeals Place 5",REP,,,,"5705 Galsworthy Court Austin, TX 78739"
Scott Walker,"Judge, Court of Criminal Appeals Place 5",REP,,,,"6116 North Central Expressway, Ste. 1201 Dallas, TX 75206"
Sid Harle,"Judge, Court of Criminal Appeals Place 5",REP,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xap1/t31.0-8/s960x960/11707673_851370134938205_2022645463218279351_o.jpg,http://electsidharle.com/,https://www.facebook.com/ElectSidHarle,"203 Gardenview San Antonio, Texas 78213"
Robert Burns,"Judge, Court of Criminal Appeals Place 6",DEM,http://judgerobertburns.com/assets/images/siteimages/JudgeBurns.jpg,http://judgerobertburns.com/,,"133 N. Riverfront Blvd., LB 38 Dallas, TX 75207"
Richard Davis,"Judge, Court of Criminal Appeals Place 6",REP,http://static.wixstatic.com/media/fa41b2_6559f241b45c4dd890128e3909400f33.jpg_256,,,"111 E. Jackson Street Burnet, TX 78611"
